,Unnamed: 0,nameC,cust_idPP
265,265,Garuda Indonesia,1.2739849056344325e+18
266,266,Georgian Airways,
267,267,Germania Airlines [no longer operating],
268,268,Germanwings,
269,269,GLO Airlines (no longer operating),
270,270,GoAir,
271,271,GOL Airlines,
272,272,Golden Myanmar Airlines,
273,273,Grand China Air,
274,274,Groupe Transair,
275,275,Gulf Air,
276,276,Gum Air,
277,277,GX Airlines,
278,278,Hainan Airlines,1.6431331237519547e+18
279,279,Hawaiian Airlines,1.828297582619136e+18
280,280,Hebei Airlines,
281,281,Helvetic Airways,
282,282,Himalaya Airlines,
283,283,HK Express,
284,284,Hong Kong Airlines,
285,285,Hongtu Airlines,
286,286,HOP!,
287,287,Hunnu Air,
288,288,IBC Airways,
289,289,Iberia,1.805726804913764e+18
290,290,Iberia Express,2.0725693841200865e+18
291,291,IBEX,
292,292,Icelandair,1.867397395783956e+18
293,293,IndiGo,
294,294,InselAir,
295,295,interCaribbean,
296,296,Interjet,2.0269293030367145e+18
297,297,IrAero,
298,298,Iran Aseman Airlines,
299,299,IranAir,2.235139268642873e+18
300,300,Iraqi Airways,1.2501741616410598e+18
301,301,Island Air [no longer operating],
302,302,Israir,
303,303,Izhavia,
304,304,Jambojet,
305,305,Japan Airlines (JAL),
306,306,Jazeera Airways,
307,307,JC Cambodia,
308,308,Jeju Air,2.107005098567746e+18
309,309,Jet Airways [no longer operating],
310,310,Jet2.com,1.551657411881979e+18
311,311,JetBlue,1.4958243245617106e+18
312,312,JETGO,
313,313,JetSmart,
314,314,Jetstar Airways - Australia & New Zealand,
315,315,Jetstar Asia Airways - Singapore,
316,316,Jetstar Japan,
317,317,Jetstar Pacific Airlines - Vietnam,
318,318,JetSuiteX,
319,319,"Jetways Airlines, Kenya [NOT Jet Airways of India]",
320,320,Jiangxi Air,
321,321,Jin Air,
322,322,Jordan Aviation,
323,323,Joy Air,
324,324,Jubba Airways,
325,325,Juneyao Airlines,
326,326,Kalstar Aviation,
327,327,Kam Air,
328,328,Kan Airlines,
329,329,Kenya Airways,1.6204610217735178e+18
330,330,Kish Air,
331,331,KLM Royal Dutch Airlines,2.2875640929983565e+18
332,332,Korean Air,1.935141059477359e+18
333,333,KrasAvia,
334,334,Kulula,
335,335,Kunming Airlines,
336,336,Kuwait Airways,1.3890942425454054e+18
337,337,La Compagnie,
338,338,La Costena,
339,339,LAM Mozambique,
340,340,LAN Airlines (now LATAM Airlines),
341,341,Lanmei Airlines,
342,342,Lao Airlines,
343,343,Lao Skyway,
344,344,Laser Airlines,
345,345,LATAM Airlines,
346,346,Latin American Wings [no longer operating],
347,347,Laudamotion,
348,348,LCPeru,
349,349,LEVEL,1.7709401469185684e+18
350,350,LIAT,
351,351,Libyan Airlines,
352,352,Lion Air,
353,353,Loganair,
354,354,Longjiang - LJ Air,
355,355,Loong Air,
356,356,LOT Polish Airlines,2.213107359588156e+18
357,357,Lucky Air,
358,358,Lufthansa,1.4620665231635492e+18
359,359,Luxair,
360,360,Magnicharters,
361,361,Mahan Air,2.2321532109832855e+18
362,362,Malaysia Airlines,1.4184575440017418e+18
363,363,Maldivian,
364,364,Malindo Air,
365,365,Mandarin Airlines,
366,366,Mango,1.7157056318972692e+18
367,367,Mann Yadanarpon Airlines,
368,368,Manta Air,
369,369,Mauritania Airlines,
370,370,Maya Island Air,1.629561056593138e+18
371,371,Mayair,
372,372,MIAT Mongolian Airlines,
373,373,Middle East Airlines,
374,374,Mistral Air,
375,375,Mokulele Airlines,
376,376,Monarch [no longer operating],
377,377,Montenegro Airlines,
378,378,Myanmar Airways International,
379,379,Myanmar National Airlines,
380,380,MyWay Airlines,
381,381,Nam Air,
382,382,Nature Air (no longer operating),
383,383,Nauru Airlines,
384,384,Neos,
385,385,Nepal Airlines,
386,386,NewGen Airways,
387,387,NewLeaf [no longer operating - merged into Flair Airlines],
388,388,Nextjet [no longer operating],
389,389,Niki [no longer operating],
390,390,Nile Air,
391,391,Nok Air,
392,392,NokScoot,
393,393,Nordica,
394,394,Nordstar Airlines,
395,395,Nordwind Airlines,
396,396,Norwegian,
397,397,Nouvel Air Tunise,
398,398,NOVOAIR,
399,399,Okay Airways,
400,400,Olympic Air [NOT the same as Olympus Airways],
401,401,Oman Air,2.0422874136172265e+18
402,402,Onur Air,
403,403,OpenSkies [no longer operating],
404,404,Orbest,
405,405,Orient Thai Airlines,
406,406,Pacific Coastal Airlines,
407,407,Pakistan International Airlines,
408,408,PAL Airlines (Canada),
409,409,Pascan,
410,410,Passaredo Linhas Aereas,
411,411,PAWA Dominicana [no longer operating],
412,412,Peach Aviation,
413,413,Pegas Fly,
414,414,Pegasus Airlines,
415,415,Penobscot Island Air,
416,416,People's Airline,
417,417,Peruvian Airlines,
418,418,Philippine Airlines (PAL),
419,419,Plus Ultra Lineas Aereas,
420,420,PNG Air,
421,421,Pobeda,
422,422,Porter Airlines,
423,423,Precision Air,2.1189251091436585e+18
424,424,Primera Air [no longer operating],
425,425,Proflight Zambia,
426,426,Qantas,
427,427,Qatar Airways,1.5703394929298934e+18
428,428,QAZAQ AIR,
429,429,Qeshm Airlines,
430,430,Qingdao Airlines,
431,431,Ravn Alaska,
432,432,REALtonga,
433,433,Red Wings,
434,434,Regent Airways,
435,435,Regional Air,2.219198703613794e+18
436,436,Regional Express Airlines,
437,437,Rossiya Russian Airlines,
438,438,Royal Air Maroc,1.8780938703317676e+18
439,439,Royal Brunei Airlines,
440,440,Royal Jordanian,
441,441,Ruili Airlines,
442,442,RusLine,
443,443,RwandAir,1.4612649738013243e+18
444,444,Ryanair,1.1898667541244303e+18
445,445,S7 airlines,
446,446,Safarilink,
447,447,Safi Airways,2.2630862846224404e+18
448,448,SalamAir,
449,449,Samoa Airlines,
450,450,San German Express,
451,451,SANSA,
452,452,Saratov/Ivolga [no longer operating],
453,453,SAS,1.5110806554274368e+18
454,454,SATA - Azores Airlines,
455,455,SATENA Colombia,
456,456,Saudia Airlines,
457,457,SaudiGulf Airlines,
458,458,SCAT Airlines,
459,459,Scoot,
460,460,Seaborne Airlines,1.4239423302639142e+18
461,461,SereneAir,
462,462,Sevenair/AeroVIP,
463,463,Severstal Air Company,
464,464,Shaheen Air International,
465,465,Shandong Airlines,
466,466,Shanghai Airlines,
467,467,Sharp Airlines,
468,468,Shenzhen Airlines,
469,469,Shree,
470,470,Sichuan Airlines,
471,471,SilkAir,
472,472,Silver Airways,
473,473,Silverstone Air,
474,474,Simrik Airlines,
475,475,Singapore Airlines,1.847105311714941e+18
476,476,Sky Airline,2.1107493385566656e+18
477,477,Sky Angkor Airlines,1.2208917770886303e+18
478,478,Sky Express Airline,
479,479,Sky Shuttle,
480,480,Skyjet Airlines,
481,481,Skymark Airlines,
482,482,SkyUp,
483,483,Skyway Airlines,
484,484,SkyWork Airlines [no longer operating],
485,485,Small Planet Airlines [no longer operating,
486,486,Smartavia,
487,487,SmartWings,
488,488,Solaseed Air,
489,489,Solomon Airlines,
490,490,Somon Air,
491,491,Sosa (Aerolineas Sosa),
492,492,Sounds Air,
493,493,South African Airways,
494,494,Southern Airways Express,
495,495,Southwest Airlines,1.41294910257896e+18
496,496,SpiceJet,
497,497,Spirit Airlines,
498,498,Spring Airlines,
499,499,Spring Airlines Japan,
500,500,SprintAir (Polish airline),
501,501,SriLankan Airlines,1.565427153410161e+18
502,502,Sriwijaya Air,
503,503,St Barth Commuter,
504,504,Star Peru,
505,505,Starbow [no longer operating],
506,506,Starflyer,
507,507,Sudan Airways,
508,508,Sun Air Express,
509,509,Sun Country Airlines,
510,510,Sundair,
511,511,SunExpress,
512,512,Sunrise Airways,
513,513,Sunwing Airlines,
514,514,Suparna Airlines,
515,515,Surinam Airways,2.191513470888004e+18
516,516,Swiss International Air Lines,
517,517,Swoop,
518,518,SyrianAir,
519,519,T Way Airlines,
520,520,TAAG Angola Airlines,1.3597142437274002e+18
521,521,Taban Air,
522,522,TACV Cabo Verde Airlines,
523,523,TAG,
524,524,Tailwind Airlines,
525,525,Tajik Air,
526,526,TAM Airlines Brazil,
527,527,TAME Vuela Ecuador,
528,528,TAP Air Portugal,
529,529,TAR Aerolineas,1.9368937152512084e+18
530,530,TAROM,
531,531,Thai Airways,
532,532,Thai Lion Air,
533,533,THAI Smile Airways,
534,534,Thai Vietjet,
535,535,Thomas Cook Airlines (UK),
536,536,Thomas Cook Airlines Belgium [no longer operating],
537,537,Thomas Cook Airlines Scandinavia,
538,538,Tianjin Airlines,
539,539,Tiara Air Aruba,
540,540,Tibet Airlines,
541,541,tigerair australia,
542,542,Tigerair Singapore [no longer operating],
543,543,tigerair taiwan,
544,544,Tradewind Aviation,
545,545,Trans Air Congo (TAC),
546,546,Trans Guyana,
547,547,Trans Maldivian,
548,548,Transavia,
549,549,TransNusa,
550,550,Trigana Air Service,
551,551,Tropic Air Belize,
552,552,Tropic Ocean Airways,2.213995859611892e+18
553,553,Trujet,
554,554,TUI Airlines Netherlands,
555,555,TUI Airways (United Kingdom),
556,556,TUI fly Belgium (formerly Jetairfly),
557,557,TUIfly (Germany),
558,558,Tunisair,1.4752239523499428e+18
559,559,Turkish Airlines,1.2317416301390367e+18
560,560,Turkmenistan Airlines,
561,561,Tus Air,
562,562,Twin Jet,
563,563,Ukraine International Airlines,1.42691623990823e+18
564,564,Uni Air,
565,565,United Airlines,2.279314472162471e+18
566,566,Ural Airlines,
567,567,Urumqi Air,
568,568,US-Bangla Airlines,
569,569,Utair,
570,570,Uzbekistan Airways,
571,571,Vanilla Air,
572,572,VASCO,
573,573,Veca Airlines [no longer operating],
574,574,Via Airlines,
575,575,Vieques Air Link,
576,576,VietJetAir,
577,577,Vietnam Airlines,1.8756148756226432e+18
578,578,Vim Airlines [no longer operating],
579,579,Virgin America (now Alaska Airlines),
580,580,Virgin Atlantic Airways,1.7641798141625723e+18
581,581,Virgin Australia,
582,582,Vistara,
583,583,Viva Aerobus,
584,584,Viva Air (Colombia),
585,585,Viva Air (Peru),
586,586,VLM Airlines [no longer operating],
587,587,Volaris,2.1754504782617367e+18
588,588,Volotea,
589,589,Vueling Airlines,1.2805283740124613e+18
590,590,Wamos Air,1.361607891786997e+18
591,591,Wantaniya Airways [no longer operating],
592,592,Wasaya Airways,
593,593,West Air,
594,594,WestJet,2.1566654862462413e+18
595,595,Wideroe,
596,596,Winair,
597,597,Windrose Air,
598,598,Wingo,2.293217941425667e+18
599,599,Wings Air,1.2628196306942784e+18
600,600,Wizz Air,
601,601,WOW air [no longer operating],
602,602,Xiamen Airlines,
603,603,XL Airways,
604,604,Xpressair,
605,605,Yakutia Air,
606,606,Yamal Airlines,
607,607,Yanair,
608,608,Yemenia,
609,609,Yeti Airlines,2.29187351383595e+18
610,610,Zagros Airlines,
611,611,9 Air,
