,Unnamed: 0,Unnamed: 0.1,nameC,cust_idPP
340,340,340,LAN Airlines (now LATAM Airlines),1.64857449813355e+18
341,341,341,Lanmei Airlines,2.0767325876548882e+18
342,342,342,Lao Airlines,1.6557852992512883e+18
343,343,343,Lao Skyway,
344,344,344,Laser Airlines,
345,345,345,LATAM Airlines,1.64857449813355e+18
346,346,346,Latin American Wings [no longer operating],
347,347,347,Laudamotion,
348,348,348,LCPeru,1.6736601315352133e+18
349,349,349,LEVEL,1.7709401469185684e+18
350,350,350,LIAT,1.90790623024215e+18
351,351,351,Libyan Airlines,
352,352,352,Lion Air,1.1695637668784348e+18
353,353,353,Loganair,
354,354,354,Longjiang - LJ Air,
355,355,355,Loong Air,
356,356,356,LOT Polish Airlines,2.213107359588156e+18
357,357,357,Lucky Air,
358,358,358,Lufthansa,1.4620665231635492e+18
359,359,359,Luxair,2.232318751305134e+18
360,360,360,Magnicharters,1.5897050555156347e+18
361,361,361,Mahan Air,2.2321532109832852e+18
362,362,362,Malaysia Airlines,1.4184575440017418e+18
363,363,363,Maldivian,
364,364,364,Malindo Air,1.825275596752517e+18
365,365,365,Mandarin Airlines,
366,366,366,Mango,1.7157056318972692e+18
367,367,367,Mann Yadanarpon Airlines,
368,368,368,Manta Air,
369,369,369,Mauritania Airlines,
370,370,370,Maya Island Air,1.629561056593138e+18
371,371,371,Mayair,1.316119552812918e+18
372,372,372,MIAT Mongolian Airlines,1.5874854970018499e+18
373,373,373,Middle East Airlines,1.8294891690376033e+18
374,374,374,Mistral Air,2.2864892449843366e+18
375,375,375,Mokulele Airlines,1.462416652385301e+18
376,376,376,Monarch [no longer operating],
377,377,377,Montenegro Airlines,
378,378,378,Myanmar Airways International,1.6735945389517276e+18
379,379,379,Myanmar National Airlines,1.6735945389517276e+18
380,380,380,MyWay Airlines,
381,381,381,Nam Air,
382,382,382,Nature Air (no longer operating),2.1966665256801231e+18
383,383,383,Nauru Airlines,
384,384,384,Neos,
385,385,385,Nepal Airlines,
386,386,386,NewGen Airways,
387,387,387,NewLeaf [no longer operating - merged into Flair Airlines],
388,388,388,Nextjet [no longer operating],
389,389,389,Niki [no longer operating],
390,390,390,Nile Air,
391,391,391,Nok Air,1.747022986855769e+18
392,392,392,NokScoot,
393,393,393,Nordica,1.1533287298607665e+18
394,394,394,Nordstar Airlines,
395,395,395,Nordwind Airlines,
396,396,396,Norwegian,2.0933801457129257e+18
397,397,397,Nouvel Air Tunise,
398,398,398,NOVOAIR,
399,399,399,Okay Airways,1.747022986855769e+18
400,400,400,Olympic Air [NOT the same as Olympus Airways],2.1163983075684695e+18
401,401,401,Oman Air,2.0422874136172265e+18
402,402,402,Onur Air,
403,403,403,OpenSkies [no longer operating],
404,404,404,Orbest,1.946508638094934e+18
405,405,405,Orient Thai Airlines,
406,406,406,Pacific Coastal Airlines,1.2347609394032182e+18
407,407,407,Pakistan International Airlines,1.8160843636861798e+18
408,408,408,PAL Airlines (Canada),
409,409,409,Pascan,1.383779614344099e+18
410,410,410,Passaredo Linhas Aereas,
411,411,411,PAWA Dominicana [no longer operating],
412,412,412,Peach Aviation,
413,413,413,Pegas Fly,
414,414,414,Pegasus Airlines,
415,415,415,Penobscot Island Air,
416,416,416,People's Airline,2.2280963442752026e+18
417,417,417,Peruvian Airlines,1.8131606189713943e+18
418,418,418,Philippine Airlines (PAL),1.886553396900609e+18
419,419,419,Plus Ultra Lineas Aereas,
420,420,420,PNG Air,
421,421,421,Pobeda,
422,422,422,Porter Airlines,
423,423,423,Precision Air,2.1189251091436585e+18
424,424,424,Primera Air [no longer operating],
425,425,425,Proflight Zambia,
426,426,426,Qantas,1.184745760020726e+18
427,427,427,Qatar Airways,1.5703394929298934e+18
428,428,428,QAZAQ AIR,
429,429,429,Qeshm Airlines,
430,430,430,Qingdao Airlines,
431,431,431,Ravn Alaska,
432,432,432,REALtonga,1.241414777496376e+18
433,433,433,Red Wings,
434,434,434,Regent Airways,
435,435,435,Regional Air,2.219198703613794e+18
436,436,436,Regional Express Airlines,1.7990218244409505e+18
437,437,437,Rossiya Russian Airlines,
438,438,438,Royal Air Maroc,1.878093870331768e+18
439,439,439,Royal Brunei Airlines,
440,440,440,Royal Jordanian,1.2350015260688852e+18
441,441,441,Ruili Airlines,
442,442,442,RusLine,
443,443,443,RwandAir,1.4612649738013243e+18
444,444,444,Ryanair,1.1898667541244303e+18
445,445,445,S7 airlines,1.176584539818071e+18
446,446,446,Safarilink,1.1886306142465352e+18
447,447,447,Safi Airways,2.2630862846224404e+18
448,448,448,SalamAir,
449,449,449,Samoa Airlines,
450,450,450,San German Express,
451,451,451,SANSA,
452,452,452,Saratov/Ivolga [no longer operating],
453,453,453,SAS,1.5110806554274368e+18
454,454,454,SATA - Azores Airlines,
455,455,455,SATENA Colombia,
456,456,456,Saudia Airlines,1.2975871160577226e+18
457,457,457,SaudiGulf Airlines,
458,458,458,SCAT Airlines,2.108611705062282e+18
459,459,459,Scoot,2.1223605592620803e+18
460,460,460,Seaborne Airlines,1.4239423302639142e+18
461,461,461,SereneAir,
462,462,462,Sevenair/AeroVIP,2.2802421341955392e+18
463,463,463,Severstal Air Company,
464,464,464,Shaheen Air International,
465,465,465,Shandong Airlines,
466,466,466,Shanghai Airlines,1.9845944825811018e+18
467,467,467,Sharp Airlines,
468,468,468,Shenzhen Airlines,
469,469,469,Shree,
470,470,470,Sichuan Airlines,
471,471,471,SilkAir,1.1861823997391982e+18
472,472,472,Silver Airways,2.0160898416325548e+18
473,473,473,Silverstone Air,
474,474,474,Simrik Airlines,
475,475,475,Singapore Airlines,1.847105311714941e+18
476,476,476,Sky Airline,2.1107493385566656e+18
477,477,477,Sky Angkor Airlines,1.2208917770886303e+18
478,478,478,Sky Express Airline,2.157448147339448e+18
479,479,479,Sky Shuttle,
480,480,480,Skyjet Airlines,
481,481,481,Skymark Airlines,
482,482,482,SkyUp,
483,483,483,Skyway Airlines,
484,484,484,SkyWork Airlines [no longer operating],
485,485,485,Small Planet Airlines [no longer operating,
486,486,486,Smartavia,
487,487,487,SmartWings,1.1938961065462446e+18
488,488,488,Solaseed Air,
489,489,489,Solomon Airlines,
490,490,490,Somon Air,
491,491,491,Sosa (Aerolineas Sosa),
492,492,492,Sounds Air,
493,493,493,South African Airways,2.1523077995034552e+18
494,494,494,Southern Airways Express,
495,495,495,Southwest Airlines,1.41294910257896e+18
496,496,496,SpiceJet,
497,497,497,Spirit Airlines,1.995042345206867e+18
498,498,498,Spring Airlines,1.4327083295900613e+18
499,499,499,Spring Airlines Japan,1.4327083295900613e+18
500,500,500,SprintAir (Polish airline),
501,501,501,SriLankan Airlines,1.565427153410161e+18
502,502,502,Sriwijaya Air,
503,503,503,St Barth Commuter,
504,504,504,Star Peru,1.8648530726744814e+18
505,505,505,Starbow [no longer operating],
506,506,506,Starflyer,
507,507,507,Sudan Airways,
508,508,508,Sun Air Express,
509,509,509,Sun Country Airlines,
510,510,510,Sundair,
511,511,511,SunExpress,1.3302212805659471e+18
512,512,512,Sunrise Airways,
513,513,513,Sunwing Airlines,1.5924198233146732e+18
514,514,514,Suparna Airlines,1.3343188653532372e+18
515,515,515,Surinam Airways,2.191513470888004e+18
516,516,516,Swiss International Air Lines,2.0011039963059576e+18
517,517,517,Swoop,1.4467957693577498e+18
518,518,518,SyrianAir,
519,519,519,T Way Airlines,
520,520,520,TAAG Angola Airlines,1.3597142437274002e+18
521,521,521,Taban Air,
522,522,522,TACV Cabo Verde Airlines,
523,523,523,TAG,1.4687616503322273e+18
524,524,524,Tailwind Airlines,2.1948460372893015e+18
525,525,525,Tajik Air,
526,526,526,TAM Airlines Brazil,1.64857449813355e+18
527,527,527,TAME Vuela Ecuador,1.3843277739450194e+18
528,528,528,TAP Air Portugal,1.5782067994841364e+18
529,529,529,TAR Aerolineas,1.9368937152512084e+18
530,530,530,TAROM,2.014198093984004e+18
531,531,531,Thai Airways,1.9665893454057073e+18
532,532,532,Thai Lion Air,
533,533,533,THAI Smile Airways,
534,534,534,Thai Vietjet,1.4261051501957274e+18
535,535,535,Thomas Cook Airlines (UK),1.8568962026002806e+18
536,536,536,Thomas Cook Airlines Belgium [no longer operating],1.8568962026002806e+18
537,537,537,Thomas Cook Airlines Scandinavia,1.8568962026002806e+18
538,538,538,Tianjin Airlines,
539,539,539,Tiara Air Aruba,1.9033490527165755e+18
540,540,540,Tibet Airlines,
541,541,541,tigerair australia,2.0724774968687654e+18
542,542,542,Tigerair Singapore [no longer operating],2.1223605592620803e+18
543,543,543,tigerair taiwan,2.1223605592620803e+18
544,544,544,Tradewind Aviation,
545,545,545,Trans Air Congo (TAC),
546,546,546,Trans Guyana,1.6729565449493002e+18
547,547,547,Trans Maldivian,
548,548,548,Transavia,1.7313633623283466e+18
549,549,549,TransNusa,
550,550,550,Trigana Air Service,
551,551,551,Tropic Air Belize,1.2669885261152102e+18
552,552,552,Tropic Ocean Airways,2.213995859611892e+18
553,553,553,Trujet,
554,554,554,TUI Airlines Netherlands,
555,555,555,TUI Airways (United Kingdom),2.033557581126924e+18
556,556,556,TUI fly Belgium (formerly Jetairfly),
557,557,557,TUIfly (Germany),
558,558,558,Tunisair,1.4752239523499428e+18
559,559,559,Turkish Airlines,1.2317416301390367e+18
560,560,560,Turkmenistan Airlines,
561,561,561,Tus Air,
562,562,562,Twin Jet,
563,563,563,Ukraine International Airlines,1.42691623990823e+18
564,564,564,Uni Air,
565,565,565,United Airlines,2.2793144721624712e+18
566,566,566,Ural Airlines,1.5394934430759043e+18
567,567,567,Urumqi Air,
568,568,568,US-Bangla Airlines,
569,569,569,Utair,1.6683725933780567e+18
570,570,570,Uzbekistan Airways,
571,571,571,Vanilla Air,
572,572,572,VASCO,1.8597386355999473e+18
573,573,573,Veca Airlines [no longer operating],
574,574,574,Via Airlines,
575,575,575,Vieques Air Link,
576,576,576,VietJetAir,1.4261051501957274e+18
577,577,577,Vietnam Airlines,1.8756148756226432e+18
578,578,578,Vim Airlines [no longer operating],
579,579,579,Virgin America (now Alaska Airlines),
580,580,580,Virgin Atlantic Airways,1.7641798141625723e+18
581,581,581,Virgin Australia,1.260227947735875e+18
582,582,582,Vistara,
583,583,583,Viva Aerobus,1.2923991449153728e+18
584,584,584,Viva Air (Colombia),1.9169819016347446e+18
585,585,585,Viva Air (Peru),1.9169819016347446e+18
586,586,586,VLM Airlines [no longer operating],
587,587,587,Volaris,2.1754504782617367e+18
588,588,588,Volotea,1.9939414154129198e+18
589,589,589,Vueling Airlines,1.2805283740124613e+18
590,590,590,Wamos Air,1.361607891786997e+18
591,591,591,Wantaniya Airways [no longer operating],
592,592,592,Wasaya Airways,1.9156175766575398e+18
593,593,593,West Air,1.7899639733211466e+18
594,594,594,WestJet,2.1566654862462413e+18
595,595,595,Wideroe,
596,596,596,Winair,
597,597,597,Windrose Air,1.2968203994412995e+18
598,598,598,Wingo,2.293217941425667e+18
599,599,599,Wings Air,1.2628196306942784e+18
600,600,600,Wizz Air,1.912790792496251e+18
601,601,601,WOW air [no longer operating],1.5512999419638016e+18
602,602,602,Xiamen Airlines,1.3590737566069394e+18
603,603,603,XL Airways,1.3815439127442033e+18
604,604,604,Xpressair,1.5588223574784817e+18
605,605,605,Yakutia Air,2.2683308018435272e+18
606,606,606,Yamal Airlines,2.1891256124627366e+18
607,607,607,Yanair,1.3599864485836424e+18
608,608,608,Yemenia,
609,609,609,Yeti Airlines,2.29187351383595e+18
610,610,610,Zagros Airlines,
611,611,611,9 Air,
