,nameC,cust_idPP
153,Blue Islands Air,
154,Blue Panorama Airlines,
155,Boliviana de Aviacion,1.2087587181345597e+18
156,Borajet [no longer operating],
157,Boutique Air,
158,BRA (Braathens Regional Airways AB),
159,British Airways,1.2128540128604298e+18
160,Brussels Airlines,1.2909646987452076e+18
161,Buddha Air,
162,Bulgaria Air,
163,Buta Airways,
164,Calafia Airlines,1.550926871044508e+18
165,CalmAir International,
166,Cambodia Angkor Air,
167,Canadian North,1.835007099663243e+18
168,Canaryfly,
169,Cape Air,2.188708596821903e+18
170,Caribbean Airlines,1.6050338269326582e+18
171,Caspian Airlines,
172,Cathay Dragon (Dragonair),
173,Cathay Pacific,1.2872948723619167e+18
174,Cayman Airways,
175,Cebu Pacific Air,
176,CemAir,
177,Central Mountain Air,
178,Chair,
179,Cham Wings,
180,Chengdu Airlines,
181,China Airlines,1.9853084655063465e+18
182,China Eastern Airlines,
183,China Express Airlines,
184,China Southern Airlines,
185,China United Airlines,
186,Chongqing Airlines,
187,Cinnamon Air,
188,Citilink,
189,CityJet,
190,Citywing [no longer operating],
191,CM Airlines,2.1676164724155791e+18
192,Cobalt [no longer operating],
193,Colorful GuiZhou Airlines,
194,Condor,1.832184213112461e+18
195,Contour,1.7594509348161295e+18
196,Copa Airlines,1.3908719387271557e+18
197,Copenhagen AirTaxi,
198,Corendon Airlines,
199,Corsair,
200,Croatia Airlines,
201,Cubana de Aviacion,
202,Cyprus Airways,
203,Czech Airlines,
204,Daallo Airlines,1.4188427403957962e+18
205,Dalian Airlines,
206,DAT Danish Air Transport,
207,Delta Air Lines,1.273310694486866e+18
208,Denver Air Connection,
209,Dniproavia [no longer operating - merged into Windrose Airlines],
210,Donghai Airlines,
211,Druk Air,
212,Dynamic International Airways,
213,Eagle Air,
214,Eastar Jet,
215,Eastern Airways,
216,EasyFly,1.3072965144599406e+18
217,easyJet,1.5056905697554678e+18
218,Edelweiss Air,
219,EGYPTAIR,2.0947036706062781e+18
220,El Al Israel Airlines,
221,Elite Airways,2.0157349516123095e+18
222,Ellinair,
223,Emirates,1.3301649373608146e+18
224,Enter Air,
225,Equatorial Congo Airlines [no longer operating],
226,Eritrean Airlines,
227,Ernest,2.1080809172512026e+18
228,Ethiopian Airlines,
229,Etihad Airways,1.2083711968979784e+18
230,Etihad Regional [no longer operating],
231,Euro Atlantic,
232,European Coastal Airlines [no longer operating],
233,Eurowings,
234,EVA Air,
235,Evelop,
236,Far Eastern Air Transport,
237,fastjet,
238,Fiji Airways,
239,Finnair,1.1566767274400172e+18
240,firefly,1.6411700847902282e+18
241,First Air,2.1671005494162337e+18
242,Flair Airlines,
243,Fly Allways,
244,Fly Baghdad,
245,Fly Corporate,
246,Fly Tiwi,
247,Fly540,
248,Flyadeal,
249,FlyArystan,
250,Flybe,1.7777925130259617e+18
251,flybmi [no longer operating],
252,Flybondi,
253,flydubai,
254,FlyEgypt,2.0854488215528996e+18
255,Flyme,1.3868142249921807e+18
256,Flynas,
257,FLYONE,
258,FlyPelican,
259,FlySafair,
260,FMIAir,
261,French bee,
262,Frontier Airlines,
263,Fuji Dream Airlines,
264,Fuzhou Airlines,
265,Garuda Indonesia,1.2739849056344325e+18
266,Georgian Airways,
267,Germania Airlines [no longer operating],
268,Germanwings,
269,GLO Airlines (no longer operating),
270,GoAir,
271,GOL Airlines,
272,Golden Myanmar Airlines,
273,Grand China Air,
274,Groupe Transair,
275,Gulf Air,
276,Gum Air,
277,GX Airlines,
278,Hainan Airlines,1.6431331237519547e+18
279,Hawaiian Airlines,1.828297582619136e+18
280,Hebei Airlines,
281,Helvetic Airways,
282,Himalaya Airlines,
283,HK Express,
284,Hong Kong Airlines,
285,Hongtu Airlines,
286,HOP!,
287,Hunnu Air,
288,IBC Airways,
289,Iberia,1.805726804913764e+18
290,Iberia Express,2.0725693841200863e+18
291,IBEX,
292,Icelandair,1.8673973957839562e+18
293,IndiGo,
294,InselAir,
295,interCaribbean,
296,Interjet,2.0269293030367145e+18
297,IrAero,
298,Iran Aseman Airlines,
299,IranAir,2.2351392686428733e+18
300,Iraqi Airways,1.2501741616410598e+18
301,Island Air [no longer operating],
302,Israir,
303,Izhavia,
304,Jambojet,
305,Japan Airlines (JAL),
306,Jazeera Airways,
307,JC Cambodia,
308,Jeju Air,2.107005098567746e+18
309,Jet Airways [no longer operating],
310,Jet2.com,1.551657411881979e+18
311,JetBlue,1.4958243245617106e+18
312,JETGO,
313,JetSmart,
314,Jetstar Airways - Australia & New Zealand,
315,Jetstar Asia Airways - Singapore,
316,Jetstar Japan,
317,Jetstar Pacific Airlines - Vietnam,
318,JetSuiteX,
319,"Jetways Airlines, Kenya [NOT Jet Airways of India]",
320,Jiangxi Air,
321,Jin Air,
322,Jordan Aviation,
323,Joy Air,
324,Jubba Airways,
325,Juneyao Airlines,
326,Kalstar Aviation,
327,Kam Air,
328,Kan Airlines,
329,Kenya Airways,1.6204610217735178e+18
330,Kish Air,
331,KLM Royal Dutch Airlines,2.2875640929983565e+18
332,Korean Air,1.935141059477359e+18
333,KrasAvia,
334,Kulula,
335,Kunming Airlines,
336,Kuwait Airways,1.3890942425454054e+18
337,La Compagnie,
338,La Costena,
339,LAM Mozambique,
340,LAN Airlines (now LATAM Airlines),
341,Lanmei Airlines,
342,Lao Airlines,
343,Lao Skyway,
344,Laser Airlines,
345,LATAM Airlines,
346,Latin American Wings [no longer operating],
347,Laudamotion,
348,LCPeru,
349,LEVEL,1.7709401469185684e+18
350,LIAT,
351,Libyan Airlines,
352,Lion Air,
353,Loganair,
354,Longjiang - LJ Air,
355,Loong Air,
356,LOT Polish Airlines,2.2131073595881562e+18
357,Lucky Air,
358,Lufthansa,1.4620665231635492e+18
359,Luxair,
360,Magnicharters,
361,Mahan Air,2.2321532109832858e+18
362,Malaysia Airlines,1.4184575440017418e+18
363,Maldivian,
364,Malindo Air,
365,Mandarin Airlines,
366,Mango,1.7157056318972692e+18
367,Mann Yadanarpon Airlines,
368,Manta Air,
369,Mauritania Airlines,
370,Maya Island Air,1.629561056593138e+18
371,Mayair,
372,MIAT Mongolian Airlines,
373,Middle East Airlines,
374,Mistral Air,
375,Mokulele Airlines,
376,Monarch [no longer operating],
377,Montenegro Airlines,
378,Myanmar Airways International,
379,Myanmar National Airlines,
380,MyWay Airlines,
381,Nam Air,
382,Nature Air (no longer operating),
383,Nauru Airlines,
384,Neos,
385,Nepal Airlines,
386,NewGen Airways,
387,NewLeaf [no longer operating - merged into Flair Airlines],
388,Nextjet [no longer operating],
389,Niki [no longer operating],
390,Nile Air,
391,Nok Air,
392,NokScoot,
393,Nordica,
394,Nordstar Airlines,
395,Nordwind Airlines,
396,Norwegian,
397,Nouvel Air Tunise,
398,NOVOAIR,
399,Okay Airways,
400,Olympic Air [NOT the same as Olympus Airways],
401,Oman Air,2.0422874136172262e+18
402,Onur Air,
403,OpenSkies [no longer operating],
404,Orbest,
405,Orient Thai Airlines,
406,Pacific Coastal Airlines,
407,Pakistan International Airlines,
408,PAL Airlines (Canada),
409,Pascan,
410,Passaredo Linhas Aereas,
411,PAWA Dominicana [no longer operating],
412,Peach Aviation,
413,Pegas Fly,
414,Pegasus Airlines,
415,Penobscot Island Air,
416,People's Airline,
417,Peruvian Airlines,
418,Philippine Airlines (PAL),
419,Plus Ultra Lineas Aereas,
420,PNG Air,
421,Pobeda,
422,Porter Airlines,
423,Precision Air,2.1189251091436585e+18
424,Primera Air [no longer operating],
425,Proflight Zambia,
426,Qantas,
427,Qatar Airways,1.5703394929298934e+18
428,QAZAQ AIR,
429,Qeshm Airlines,
430,Qingdao Airlines,
431,Ravn Alaska,
432,REALtonga,
433,Red Wings,
434,Regent Airways,
435,Regional Air,2.219198703613794e+18
436,Regional Express Airlines,
437,Rossiya Russian Airlines,
438,Royal Air Maroc,1.8780938703317673e+18
439,Royal Brunei Airlines,
440,Royal Jordanian,
441,Ruili Airlines,
442,RusLine,
443,RwandAir,1.4612649738013243e+18
444,Ryanair,1.1898667541244303e+18
445,S7 airlines,
446,Safarilink,
447,Safi Airways,2.2630862846224404e+18
448,SalamAir,
449,Samoa Airlines,
450,San German Express,
451,SANSA,
452,Saratov/Ivolga [no longer operating],
453,SAS,1.5110806554274368e+18
454,SATA - Azores Airlines,
455,SATENA Colombia,
456,Saudia Airlines,
457,SaudiGulf Airlines,
458,SCAT Airlines,
459,Scoot,
460,Seaborne Airlines,1.4239423302639142e+18
461,SereneAir,
462,Sevenair/AeroVIP,
463,Severstal Air Company,
464,Shaheen Air International,
465,Shandong Airlines,
466,Shanghai Airlines,
467,Sharp Airlines,
468,Shenzhen Airlines,
469,Shree,
470,Sichuan Airlines,
471,SilkAir,
472,Silver Airways,
473,Silverstone Air,
474,Simrik Airlines,
475,Singapore Airlines,1.8471053117149412e+18
476,Sky Airline,2.1107493385566656e+18
477,Sky Angkor Airlines,1.2208917770886305e+18
478,Sky Express Airline,
479,Sky Shuttle,
480,Skyjet Airlines,
481,Skymark Airlines,
482,SkyUp,
483,Skyway Airlines,
484,SkyWork Airlines [no longer operating],
485,Small Planet Airlines [no longer operating,
486,Smartavia,
487,SmartWings,
488,Solaseed Air,
489,Solomon Airlines,
490,Somon Air,
491,Sosa (Aerolineas Sosa),
492,Sounds Air,
493,South African Airways,
494,Southern Airways Express,
495,Southwest Airlines,1.41294910257896e+18
496,SpiceJet,
497,Spirit Airlines,
498,Spring Airlines,
499,Spring Airlines Japan,
500,SprintAir (Polish airline),
501,SriLankan Airlines,1.565427153410161e+18
502,Sriwijaya Air,
503,St Barth Commuter,
504,Star Peru,
505,Starbow [no longer operating],
506,Starflyer,
507,Sudan Airways,
508,Sun Air Express,
509,Sun Country Airlines,
510,Sundair,
511,SunExpress,
512,Sunrise Airways,
513,Sunwing Airlines,
514,Suparna Airlines,
515,Surinam Airways,2.1915134708880038e+18
516,Swiss International Air Lines,
517,Swoop,
518,SyrianAir,
519,T Way Airlines,
520,TAAG Angola Airlines,1.3597142437274002e+18
521,Taban Air,
522,TACV Cabo Verde Airlines,
523,TAG,
524,Tailwind Airlines,
525,Tajik Air,
526,TAM Airlines Brazil,
527,TAME Vuela Ecuador,
528,TAP Air Portugal,
529,TAR Aerolineas,1.9368937152512084e+18
530,TAROM,
531,Thai Airways,
532,Thai Lion Air,
533,THAI Smile Airways,
534,Thai Vietjet,
535,Thomas Cook Airlines (UK),
536,Thomas Cook Airlines Belgium [no longer operating],
537,Thomas Cook Airlines Scandinavia,
538,Tianjin Airlines,
539,Tiara Air Aruba,
540,Tibet Airlines,
541,tigerair australia,
542,Tigerair Singapore [no longer operating],
543,tigerair taiwan,
544,Tradewind Aviation,
545,Trans Air Congo (TAC),
546,Trans Guyana,
547,Trans Maldivian,
548,Transavia,
549,TransNusa,
550,Trigana Air Service,
551,Tropic Air Belize,
552,Tropic Ocean Airways,2.213995859611892e+18
553,Trujet,
554,TUI Airlines Netherlands,
555,TUI Airways (United Kingdom),
556,TUI fly Belgium (formerly Jetairfly),
557,TUIfly (Germany),
558,Tunisair,1.4752239523499428e+18
559,Turkish Airlines,1.2317416301390367e+18
560,Turkmenistan Airlines,
561,Tus Air,
562,Twin Jet,
563,Ukraine International Airlines,1.4269162399082301e+18
564,Uni Air,
565,United Airlines,2.2793144721624707e+18
566,Ural Airlines,
567,Urumqi Air,
568,US-Bangla Airlines,
569,Utair,
570,Uzbekistan Airways,
571,Vanilla Air,
572,VASCO,
573,Veca Airlines [no longer operating],
574,Via Airlines,
575,Vieques Air Link,
576,VietJetAir,
577,Vietnam Airlines,1.875614875622643e+18
578,Vim Airlines [no longer operating],
579,Virgin America (now Alaska Airlines),
580,Virgin Atlantic Airways,1.7641798141625723e+18
581,Virgin Australia,
582,Vistara,
583,Viva Aerobus,
584,Viva Air (Colombia),
585,Viva Air (Peru),
586,VLM Airlines [no longer operating],
587,Volaris,2.1754504782617367e+18
588,Volotea,
589,Vueling Airlines,1.2805283740124613e+18
590,Wamos Air,1.361607891786997e+18
591,Wantaniya Airways [no longer operating],
592,Wasaya Airways,
593,West Air,
594,WestJet,2.1566654862462413e+18
595,Wideroe,
596,Winair,
597,Windrose Air,
598,Wingo,2.293217941425667e+18
599,Wings Air,1.2628196306942784e+18
600,Wizz Air,
601,WOW air [no longer operating],
602,Xiamen Airlines,
603,XL Airways,
604,Xpressair,
605,Yakutia Air,
606,Yamal Airlines,
607,Yanair,
608,Yemenia,
609,Yeti Airlines,2.29187351383595e+18
610,Zagros Airlines,
611,9 Air,
